abbreviation,description,brick_point_class,brick_equip_class,brick_location_class
HTG-O,heating coil output,https://brickschema.org/schema/Brick#Heating_Command,https://brickschema.org/schema/Brick#Heating_Coil,
VAV,variable air volume box,,https://brickschema.org/schema/Brick#Variable_Air_Volume_Box,
AHU,air handling unit,,https://brickschema.org/schema/Brick#Air_Handling_Unit,
HW-VLV,Heating Command,https://brickschema.org/schema/Brick#Heating_Command,,
DPR-O,damper position output,https://brickschema.org/schema/Brick#Damper_Position_Command,https://brickschema.org/schema/Brick#Damper,
DA-T,discharge air temperature sensor,https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Sensor,,
SA-F,supply air flow,https://brickschema.org/schema/Brick#Supply_Air_Flow_Sensor,,
SAFLOW-SP,supply air flow setpoint,https://brickschema.org/schema/Brick#Supply_Air_Flow_Setpoint,,
OCC-CMD,Occupancy Command,https://brickschema.org/schema/Brick#Occupancy_Command,,
ZN-T,Zone Temperature Sensor,https://brickschema.org/schema/Brick#Zone_Air_Temperature_Sensor,,https://brickschema.org/schema/Brick#HVAC_Zone
ZN-H,Zone Humidity Sensor,https://brickschema.org/schema/Brick#Zone_Air_Humidity_Sensor,,https://brickschema.org/schema/Brick#HVAC_Zone
ZN-SP,Zone Temperature Setpoint,https://brickschema.org/schema/Brick#Air_Temperature_Setpoint,,https://brickschema.org/schema/Brick#HVAC_Zone
ZN-CO2,Zone CO2 Sensor,https://brickschema.org/schema/Brick#Zone_CO2_Level_Sensor,,https://brickschema.org/schema/Brick#HVAC_Zone
OCC-CLG-SP,Occupied Cooling Air Temp Setpoint,https://brickschema.org/schema/Brick#Occupied_Cooling_Temperature_Setpoint,,
OCC-HTG-SP,Occupied Heating Air Temp Setpoint,https://brickschema.org/schema/Brick#Occupied_Room_Air_Temperature_Setpoint,,
UNOCC-CLG-SP,Unoccupied Cooling Air Temp Setpoint,https://brickschema.org/schema/Brick#Unoccupied_Cooling_Temperature_Setpoint,,
UNOCC-HTG-SP,Unoccupied Heating Air Temp Setpoint,https://brickschema.org/schema/Brick#Unoccupied_Heating_Temperature_Setpoint,,
EFFCLG-SP,Effective Cooling Air Temp Setpoint,https://brickschema.org/schema/Brick#Effective_Cooling_Zone_Air_Temperature_Setpoint,,
EFFHTG-SP,Effective Heating Air Temp Setpoint,https://brickschema.org/schema/Brick#Effective_Heating_Zone_Air_Temperature_Setpoint,,
CLG-O,Cooling coil output,https://brickschema.org/schema/Brick#Cooling_Command,https://brickschema.org/schema/Brick#Cooling_Coil,
DAT-SP,discharge air temperature setpoint,https://brickschema.org/schema/Brick#Discharge_Air_Temperature_Setpoint,,
EAD-O,exhaust air damper output,https://brickschema.org/schema/Brick#Exhaust_Air_Differential_Pressure_Setpoint,https://brickschema.org/schema/Brick#Exhaust_Damper,
EAD-POS,exhaust air damper position,https://brickschema.org/schema/Brick#Damper_Position_Command,https://brickschema.org/schema/Brick#Exhaust_Damper,
EFF DA-P,effective discharge air pressure sensor,https://brickschema.org/schema/Brick#Discharge_Air_Differential_Pressure_Sensor,,
EFFDAT-SP,effective discharge air temperature setpoint,https://brickschema.org/schema/Brick#Effective_Discharge_Air_Temperature_Setpoint,,
FFILT-S,filter flow status,https://brickschema.org/schema/Brick#Emergency_Air_Flow_System_Status,https://brickschema.org/schema/Brick#Filter,
LT-A,low temperature alarm,https://brickschema.org/schema/Brick#Low_Temperature_Alarm,,
MA-T,mixed air temperature sensor,https://brickschema.org/schema/Brick#Mixed_Air_Temperature_Sensor,,
OA-F1,outdoor air flow,https://brickschema.org/schema/Brick#Outside_Air_Flow_Setpoint,,
OA-T,outdoor air temperature sensor,https://brickschema.org/schema/Brick#Outside_Air_Temperature_Sensor,,
OAD-O,outdoor air damper position,https://brickschema.org/schema/Brick#Outside_Air_Flow_Setpoint,,
OAD-POS,outdoor air damper position,https://brickschema.org/schema/Brick#Outside_Air_Flow_Setpoint,,
RA-H,return air humidity sensor,https://brickschema.org/schema/Brick#Return_Air_Humidity_Sensor,,
RA-T,return air temperature sensor,https://brickschema.org/schema/Brick#Return_Air_Temperature_Sensor,,
RAD-O,return air damper position,https://brickschema.org/schema/Brick#Damper_Position_Command,https://brickschema.org/schema/Brick#Return_Damper,
SF-C,supply fan current,https://brickschema.org/schema/Brick#Current_Sensor,https://brickschema.org/schema/Brick#Supply_Fan,
SF-O,supply fan output,https://brickschema.org/schema/Brick#Current_Output_Sensor,https://brickschema.org/schema/Brick#Supply_Fan,
SF-S,supply fan status,https://brickschema.org/schema/Brick#On_Status,https://brickschema.org/schema/Brick#Supply_Fan,
